"id","userid","tweettext","haslinks","hastags","is_retweet","totalretweets","tweeton","creationdate","class","jobid","coordinate"
"1487733755347599362","1300320506629906432","RT @Penyair_Berdiri: Nusantara adalah nama Ibu Kota Negara baru Indonesia. Pembangunan untuk mewujudkannya sudah digiatkan &amp; sah sesuai UU…","","","false","19","2022-01-30 10:25:42","2022-01-31","negatif","3",""
"1487732897738272773","150573137","RT @Zeynab46: 8 prinsip Ibu Kota Negara (IKN) | #DukungIbuKotaNusantara | Nusantara
--------
Viral Vidio Gundam Zombie Menteri Faisal Page…","","DukungIbuKotaNusantara","false","11","2022-01-30 10:22:18","2022-01-31","negatif","3",""
"1487732729173069824","1177045152944144384","RT @triosukses: https://t.co/sus0NUVhzZ.

JAKARTA — Ketua Umum PBNU KH Yahya Cholil Staquf @YahyaCStaquf resmi mencanangkan pembangunan kan…","nasional.okezone.com/read/2022/01/3…","","false","3","2022-01-30 10:21:38","2022-01-31","negatif","3",""
"1487732383348625409","1475306621282574338","RT @kimikimberl18: Dewan Perwakilan Rakyat (DPR) yang telah menyetujui Rancangan Undang-Undang tentang Ibu Kota Negara (RUU IKN) menjadi Un…","","","false","7","2022-01-30 10:20:15","2022-01-31","negatif","3",""
"1487732176292839430","1177045152944144384","Ketua Umum PBNU KH Yahya Cholil Staquf resmi mencanangkan pembangunan kantor baru PBNU di Ibu Kota Negara (IKN) di Kecamatan Sepaku, Kabupaten Penajam Paser Utara, Kalimantan Timur. 
@YahyaCStaquf
@nahdlatululama
@Official_Ansor
https://t.co/9tNFf03VCU","nasional.okezone.com/read/2022/01/3…","","false","3","2022-01-30 10:19:26","2022-01-31","tdk-relevan","3",""
"1487732118230745088","1475306621282574338","RT @Zeynab46: 8 prinsip Ibu Kota Negara (IKN) | #DukungIbuKotaNusantara | Nusantara
--------
Viral Vidio Gundam Zombie Menteri Faisal Page…","","DukungIbuKotaNusantara","false","11","2022-01-30 10:19:12","2022-01-31","negatif","3",""
"1487732058248126464","3744238512","RT @Zeynab46: 8 prinsip Ibu Kota Negara (IKN) | #DukungIbuKotaNusantara | Nusantara
--------
Viral Vidio Gundam Zombie Menteri Faisal Page…","","DukungIbuKotaNusantara","false","11","2022-01-30 10:18:58","2022-01-31","negatif","3",""
"1487731897467736064","1172390679181291522","Berdasarkan ketentuan dalam undang-undang yang telah disahkan itu, pemerintahan daerah khusus di ibu kota negara baru diselenggarakan oleh lembaga setingkat kementerian bernama Otorita IKN Nusantara. #DukungIbuKotaNusantara","","DukungIbuKotaNusantara","false","0","2022-01-30 10:18:19","2022-01-31","netral","3",""
"1487731690038513666","1170260994536497154","RT @Zeynab46: 8 prinsip Ibu Kota Negara (IKN) | #DukungIbuKotaNusantara | Nusantara
--------
Viral Vidio Gundam Zombie Menteri Faisal Page…","","DukungIbuKotaNusantara","false","11","2022-01-30 10:17:30","2022-01-31","negatif","3",""
"1487731162038611968","1219063624699768832","RT @Aqilacute10: Presiden Jokowi memilih Nusantara untuk menjadi nama ibu kota negara (IKN) baru yang berlokasi di Kabupaten Penajam Paser…","","","false","2","2022-01-30 10:15:24","2022-01-31","negatif","3",""
